iteration,N_A=10,N_A=8,N_A=6
0,0.000963007937562,0.000769136058293,0.000576663288916
1,3.07314534002,2.99211236592,2.81822541822
2,3.28927639648,3.18204763039,3.01687321247
3,3.33060640509,3.20522344423,3.03720848545
4,3.33847691906,3.20825947156,3.04012263191
5,3.33995815523,3.20856045116,3.04052939152
6,3.33995815523,3.20856045116,3.04052939152
7,3.33995815523,3.20856045116,3.04052939152
8,3.33995815523,3.20856045116,3.04052939152
9,3.33995815523,3.20856045116,3.04052939152
10,3.33995815523,3.20856045116,3.04052939152
