sweep,x,scheme,mean,std,sem,n
power,10,Proposed,2.45192020044,0.304547340282,0.0304547340282,100
power,10,ET,1.66714723188,0.221913792666,0.0221913792666,100
power,10,FHAP,0.404357955271,0.251418326241,0.0251418326241,100
power,10,Random BF,2.22405305633,0.298026275783,0.0298026275783,100
power,10,Shared FE/FI,2.01388419691,0.324023226696,0.0324023226696,100
power,15,Proposed,2.82718001093,0.310643480196,0.0310643480196,100
power,15,ET,1.99829452078,0.222143418559,0.0222143418559,100
power,15,FHAP,0.65571919184,0.312590986789,0.0312590986789,100
power,15,Random BF,2.59661781235,0.302967850211,0.0302967850211,100
power,15,Shared FE/FI,2.37159175114,0.335856748808,0.0335856748808,100
power,20,Proposed,3.20856025622,0.316474348574,0.0316474348574,100
power,20,ET,2.3336622364,0.225745752279,0.0225745752279,100
power,20,FHAP,0.966482074909,0.358911458107,0.0358911458107,100
power,20,Random BF,2.97846280019,0.312913266342,0.0312913266342,100
power,20,Shared FE/FI,2.76432977808,0.342125157178,0.0342125157178,100
power,25,Proposed,3.59083745329,0.317212335044,0.0317212335044,100
power,25,ET,2.64847040209,0.204578119982,0.0204578119982,100
power,25,FHAP,1.31670835797,0.391842299406,0.0391842299406,100
power,25,Random BF,3.35366256364,0.311448392515,0.0311448392515,100
power,25,Shared FE/FI,3.14752785667,0.354895557468,0.0354895557468,100
power,30,Proposed,3.87531021401,0.39339016179,0.039339016179,100
power,30,ET,2.90847931228,0.148403764638,0.0148403764638,100
power,30,FHAP,1.68890772228,0.415609655256,0.0415609655256,100
power,30,Random BF,3.63284799393,0.402538839203,0.0402538839203,100
power,30,Shared FE/FI,3.32990470103,0.714178583232,0.0714178583232,100
users,2,Proposed,6.51140154317,0.913072201668,0.0913072201668,100
users,2,ET,4.37264215472,0.535210829688,0.0535210829688,100
users,2,FHAP,2.03739338827,1.13889279398,0.113889279398,100
users,2,Random BF,6.00646932308,0.916062824864,0.0916062824864,100
users,2,Shared FE/FI,5.95732185467,1.01597653227,0.101597653227,100
users,4,Proposed,3.20856025622,0.316474348574,0.0316474348574,100
users,4,ET,2.3336622364,0.225745752279,0.0225745752279,100
users,4,FHAP,0.966482074909,0.358911458107,0.0358911458107,100
users,4,Random BF,2.97846280019,0.312913266342,0.0312913266342,100
users,4,Shared FE/FI,2.76432977808,0.342125157178,0.0342125157178,100
users,6,Proposed,2.16093139271,0.16325201042,0.016325201042,100
users,6,ET,1.57699537775,0.133622631578,0.0133622631578,100
users,6,FHAP,0.665631960073,0.190728410917,0.0190728410917,100
users,6,Random BF,2.01630149089,0.164614275789,0.0164614275789,100
users,6,Shared FE/FI,1.82274646143,0.178654537123,0.0178654537123,100
users,8,Proposed,1.64168302863,0.102166679311,0.0102166679311,100
users,8,ET,1.18190819485,0.0858447468966,0.00858447468966,100
users,8,FHAP,0.514163500078,0.117402668474,0.0117402668474,100
users,8,Random BF,1.53495972553,0.104315368141,0.0104315368141,100
users,8,Shared FE/FI,1.37558828107,0.104772805527,0.0104772805527,100
users,10,Proposed,1.32308377744,0.0736408950856,0.00736408950856,100
users,10,ET,0.934297756313,0.0593618577384,0.00593618577384,100
users,10,FHAP,0.415638657809,0.0825964899668,0.00825964899668,100
users,10,Random BF,1.23736285528,0.0718901510802,0.00718901510802,100
users,10,Shared FE/FI,1.10355447739,0.0778191464479,0.00778191464479,100
antennas,4,Proposed,2.77759334878,0.324792768148,0.0324792768148,100
antennas,4,ET,1.91654309575,0.249413842693,0.0249413842693,100
antennas,4,FHAP,0.621637328673,0.308842167103,0.0308842167103,100
antennas,4,Random BF,2.70308194405,0.321757550401,0.0321757550401,100
antennas,4,Shared FE/FI,2.30064644432,0.367780745026,0.0367780745026,100
antennas,6,Proposed,3.04052936061,0.319964776875,0.0319964776875,100
antennas,6,ET,2.18011663431,0.229679216479,0.0229679216479,100
antennas,6,FHAP,0.818421910513,0.340019948549,0.0340019948549,100
antennas,6,Random BF,2.88370344494,0.316568321149,0.0316568321149,100
antennas,6,Shared FE/FI,2.60066160286,0.343423994669,0.0343423994669,100
antennas,8,Proposed,3.20856025622,0.316474348574,0.0316474348574,100
antennas,8,ET,2.3336622364,0.225745752279,0.0225745752279,100
antennas,8,FHAP,0.966482074909,0.358911458107,0.0358911458107,100
antennas,8,Random BF,2.97846280019,0.312913266342,0.0312913266342,100
antennas,8,Shared FE/FI,2.76432977808,0.342125157178,0.0342125157178,100
antennas,10,Proposed,3.33995792957,0.320062879704,0.0320062879704,100
antennas,10,ET,2.44676788207,0.221905862596,0.0221905862596,100
antennas,10,FHAP,1.08659380576,0.372135693419,0.0372135693419,100
antennas,10,Random BF,3.05231684047,0.318636163709,0.0318636163709,100
antennas,10,Shared FE/FI,2.9005024153,0.357360496294,0.0357360496294,100
antennas,12,Proposed,3.45774177544,0.310914115825,0.0310914115825,100
antennas,12,ET,2.55629424643,0.210939661031,0.0210939661031,100
antennas,12,FHAP,1.18603750155,0.381500941833,0.0381500941833,100
antennas,12,Random BF,3.12316764509,0.319049664474,0.0319049664474,100
antennas,12,Shared FE/FI,3.04479693667,0.335094813412,0.0335094813412,100
